"FALSE","obs","pred"
"101",0,0.49281914893617
"102",0,0.135619047619048
"103",0,0.537764932562621
"104",0,0.251546391752578
"105",0,0.4875
"106",0,0.0211428571428566
"107",0,0.036827956989247
"108",0,0.103350970017637
"110",0,0.669103313840156
"111",0,0.346134020618557
"112",0,0.0248226950354608
"113",0,0.0568996415770607
"115",0,0.148604269293924
"116",0,0.577314814814815
"117",0,0.195632798573976
"118",0,0.0742881072026798
"119",0,0.363492063492063
"120",0,0.498992673992674
"122",0,0.167636684303351
"124",0,0.471212121212121
"126",0,0.333614232209738
"127",0,0.0646586345381532
"128",0,0.137569060773481
"129",0,0.191441441441443
"131",0,0.563659793814433
"132",0,0.468040293040293
"133",0,0.822881355932204
"134",0,0.703959484346224
"135",0,0.00499999999999856
"136",0,0.535960144927536
"137",0,0.850000000000001
"139",0,0.525092592592593
"141",0,0.034595959595959
"142",0,0.361981981981982
"143",0,0.0107594936708858
"144",0,0.438246628131021
"145",0,0.192832469775476
"146",0,0.113148148148149
"147",0,0.034823091247672
"148",0,0.0663919413919412
"149",0,0.335714285714286
"150",0,0.110893854748604
"152",0,0.0807823129251697
"153",0,0.320409982174688
"154",0,0.345020325203252
"155",0,0.119509803921569
"157",0,0.672253258845437
"158",0,0.00185185185185066
"159",0,0.0438738738738737
"160",0,0.10072463768116
"161",0,0.58470695970696
"162",0,0.327719298245614
"163",0,0.153114478114478
"164",0,0.119047619047619
"165",0,0.066184971098266
"166",0,0.637542087542087
"169",0,0.100192678227361
"170",0,0.362052730696798
"171",0,0.0133136094674553
"172",0,0.124326599326599
"173",0,0.00999999999999901
"174",0,0.161485319516408
"176",0,0.0101851851851844
"177",0,0.0130681818181809
"178",0,0.449825479930192
"179",0,0.819723865877713
"180",0,0.747543859649123
"181",0,0.0216190476190472
"182",0,0.0938725490196075
"183",0,0.307575757575758
"184",0,0.6115625
"185",0,0.44047619047619
"186",0,0.223333333333334
"187",0,0.0791666666666666
"189",0,0.392096219931271
"190",0,0.283249158249159
"191",0,0.0316399286987519
"194",0,0.00245398773006145
"195",0,0.046187943262411
"196",0,0.207154471544717
"197",0,0.240092592592594
"198",0,0.595614035087719
"200",0,0.0183823529411756
"201",0,0.132522522522523
"202",0,0.0529891304347824
"203",0,0.347129629629629
"206",0,0.311196581196582
"207",0,0.10552677029361
"208",0,0.405337078651685
"209",0,0.154462659380693
"212",0,0.367096219931271
"213",0,0.45147329650092
"215",0,0.554235727440147
"216",0,0.449242424242424
"217",0,0.14465579710145
"219",0,0.164184397163121
